,titles,similar
2648,Phone Booth,['Trash']
2650,Pieces of April,"['Aladdin', 'In the Land of Women']"
2651,Pierrot le fou,"['Drive', 'Killing Zoe', 'The Good Thief']"
2652,Pineapple Express,['Batman']
2653,Pink Flamingos,"['Batman', 'Serial Mom']"
2656,Pinocchio,['Aladdin']
2658,Pirates of the Caribbean: At World's End,"[""Pirates of the Caribbean: Dead Man's Chest""]"
2659,Pirates of the Caribbean: Dead Man's Chest,"[""Pirates of the Caribbean: At World's End"", 'Pirates of the Caribbean: The Curse of the Black Pearl']"
2660,Pirates of the Caribbean: On Stranger Tides,"[""Pirates of the Caribbean: At World's End"", ""Pirates of the Caribbean: Dead Man's Chest""]"
2661,Pirates of the Caribbean: The Curse of the Black Pearl,"[""Pirates of the Caribbean: Dead Man's Chest""]"
2662,Pitch Black,"['Children of Men', 'Cloverfield', 'Dredd', 'Equilibrium', 'Fortress', 'Gamer', 'In Time', 'Mad Max: Fury Road', 'Pandorum', 'Riddick', 'Rollerball', 'Terminator 3: Rise of the Machines', 'Terminator Salvation', 'The Maze Runner', 'Timecop', 'Ultraviolet']"
2663,Pitch Perfect,['Pitch Perfect 2']
2664,Pitch Perfect 2,['Pitch Perfect']
2665,Pixels,"['Batman', 'Jackass 3D']"
2666,Planet 51,['Escape from Planet Earth']
2667,Planet of the Apes,['Moonraker']
2668,Plastic,['Batman']
2669,Platoon,"['Rambo: First Blood Part II', 'The Thin Red Line']"
2670,Play It to the Bone,['Summer Catch']
2671,Playing for Keeps,['Aladdin']
2672,Please Give,['Just Looking']
2674,Pocahontas,['Aladdin']
2677,Point Blank,"['Death Sentence', 'Trash']"
2678,Point Break,['Face/Off']
2679,Pokémon 3: The Movie,['Aladdin']
2680,Police Academy,['Batman']
2681,Police Academy: Mission to Moscow,['Get Shorty']
2683,Pollock,['Crazy Heart']
2686,Pompeii,['The Last of the Mohicans']
2687,Pontypool,"['Day of the Dead', 'Dylan Dog: Dead of Night', 'Pandorum', 'The Last Days on Mars', 'Zombieland']"
2689,Poolhall Junkies,"['Freeway', 'Summer Catch', 'The Matador', 'The Missing Person']"
2690,Pootie Tang,"['Aladdin', 'Batman']"
2691,Porky's,"[""Losin' It""]"
2692,Poseidon,['In the Heart of the Sea']
2693,Post Grad,['Love the Coopers']
2696,Pourquoi j'ai pas mangé mon père,['Aladdin']
2697,Practical Magic,"['Aladdin', ""The Sorcerer's Apprentice""]"
2700,Predator,"['Green Lantern', 'Predators']"
2701,Predator 2,"['Aliens', 'Batman', 'Escape from L.A.', 'Predator', 'Southland Tales', 'The Day After Tomorrow', 'Training Day', 'Volcano']"
2702,Predators,['Predator']
2704,Premium Rush,"['Cop Out', 'Crank: High Voltage', 'Fast Five', 'Frequency', 'Machine Gun Preacher', 'Pain & Gain', 'Rush Hour 2', 'The Boondock Saints', 'Timecop', 'Trash']"
2705,Premonition,"['L.A. Confidential', 'The Jacket', 'Trash']"
2707,Pride & Prejudice,"['My Fair Lady', 'The Bridge of San Luis Rey']"
2708,Pride and Glory,['Trash']
2709,Pride and Prejudice and Zombies,['Warm Bodies']
2710,Priest,"['Blade: Trinity', 'Daybreakers', 'I Am Legend']"
2711,Primary Colors,['Wag the Dog']
2712,Primer,['Southland Tales']
2713,Prince of Persia: The Sands of Time,['Aladdin']
2714,Princess Kaiulani,"['Agora', 'Aladdin', 'Erin Brockovich', 'Pocahontas', 'Trash']"
2715,Prison,"['15 Minutes', 'Out of the Furnace', 'The Last House on the Left', 'The Limey']"
2716,Prisoners,"['Batman Begins', ""Brooklyn's Finest"", 'Class of 1984', 'Collateral', 'Deadfall', 'Frequency', 'Inside Man', 'Killing Zoe', 'Man on Fire', 'The Betrayed', 'The Dark Knight', 'The Dark Knight Rises', 'The Way of the Gun', 'Trash']"
2719,Project X,"['High School Musical 3: Senior Year', ""She's All That"", 'The DUFF']"
2720,Prom,['Sex Drive']
2722,Prometheus,['Titan A.E.']
2724,Proof of Life,['The Negotiator']
2727,Psycho,"['Collateral', 'Nueve Reinas', ""The Devil's Rejects"", 'The Way of the Gun']"
2728,Psycho Beach Party,"['Finishing The Game', 'I Know What You Did Last Summer', 'Summer Catch', ""Things to Do in Denver When You're Dead"", 'Very Bad Things']"
2729,Public Enemies,"['Flammen & Citronen', 'The Great Escape', 'Trash']"
2731,Pulse,['Shutter']
2732,Punch-Drunk Love,"['Aladdin', 'Griff the Invisible', 'Sliding Doors', 'Solitary Man']"
2734,Purple Violets,"['Aladdin', 'Griff the Invisible', 'Sliding Doors', 'Solitary Man', 'Tadpole', 'Trust the Man']"
2736,Puss in Boots,"['Aladdin', 'The Adventures of Rocky & Bullwinkle']"
2737,Q,"[""The Time Traveler's Wife""]"
2738,Quantum of Solace,"['For Your Eyes Only', 'Skyfall', 'Spectre', 'The Fugitive', 'The Glimmer Man', 'Trash']"
2739,Quarantine,"['28 Weeks Later', 'Carriers', 'I Am Legend', 'Twilight Zone: The Movie']"
2740,Quartet,['Så som i himmelen']
2743,Queen of the Damned,['Dracula Untold']
2744,Quest for Camelot,"['Aladdin', 'Pocahontas']"
2745,Quigley Down Under,"['Across the Universe', 'Aladdin', 'Alexander', 'Arn: Tempelriddaren', 'Caravans', 'Double Take', 'First Knight', 'Flyboys', 'Pocahontas', 'Proof of Life', 'Robin and Marian', 'The Legend of the Lone Ranger', 'The Man from Snowy River', 'The Perfect Wave', 'The Proposition', 'Trash', 'Young Guns']"
2748,Quo Vadis,"['Cleopatra', 'Henry V', 'Solomon and Sheba']"
2749,R.I.P.D.,['Batman']
2753,Rabbit-Proof Fence,"['Bloody Sunday', 'In the Heart of the Sea']"
2754,Race,"['Eddie the Eagle', 'Fury', 'Soul Surfer', 'Unbroken']"
2755,Race to Witch Mountain,['Aliens in the Attic']
2759,Radio Days,"['Summer Catch', 'Tea with Mussolini']"
2761,Raging Bull,"['Ali', 'Unbroken']"
2762,Raiders of the Lost Ark,['Indiana Jones and the Kingdom of the Crystal Skull']
2763,Rain Man,['Så som i himmelen']
2764,Raise the Titanic,['Lone Survivor']
2765,Raise Your Voice,['High School Musical 3: Senior Year']
2766,Raising Cain,"['Bless the Child', 'Class of 1984', 'Collateral', 'Deadfall', 'Donkey Punch', 'Frequency', 'Hannibal Rising', 'Prison', 'The Exorcism of Emily Rose', 'The Last House on the Left', 'The Midnight Meat Train', 'Trash']"
2767,Raising Helen,['Så som i himmelen']
2769,Rambo III,['Rambo: First Blood Part II']
2770,Rambo: First Blood Part II,['First Blood']
2771,Ramona and Beezus,"[""Eve's Bayou""]"
2772,Rampage,['Trash']
2775,Rango,"['Aladdin', 'Spirit: Stallion of the Cimarron']"
2776,Ransom,"['Big Mommas: Like Father, Like Son', 'Conspiracy Theory', 'Live Free or Die Hard', 'Mercury Rising', 'Sicario', 'Snakes on a Plane', 'The Kingdom', 'The Rock', 'The Watcher']"
2778,Rat Race,"['Batman', 'The Adventures of Rocky & Bullwinkle']"
2779,Ratatouille,['Stuart Little']
2780,Ravenous,['The Revenant']
2781,Ray,"[""Coal Miner's Daughter"", 'Dancer in the Dark', 'Dreamgirls', ""I'm Not There."", 'The Blues Brothers', 'The Runaways', 'Walk the Line']"
2782,Raymond Did It,"['Detention', 'Disturbing Behavior', 'I Know What You Did Last Summer']"
2783,Re-Kill,"['Resident Evil', 'Resident Evil: Retribution', 'World War Z']"
2784,Ready to Rumble,"['Batman', 'Love & Basketball', 'Summer Catch']"
2785,Real Steel,['Batman']
2786,Real Women Have Curves,"['200 Cigarettes', 'American Splendor', 'Enough Said', ""It's Kind of a Funny Story"", ""Jesus' Son"", 'Me and You and Everyone We Know', 'Please Give', 'The Runaways', 'Walking and Talking']"
2788,Rebecca,"['Conspiracy Theory', 'Notes on a Scandal']"
2789,Recess: School's Out,['Batman']
2790,RED,['Batman']
2791,RED 2,['From Paris with Love']
2793,Red Dog,"['Aladdin', 'Batman', 'Dazed and Confused', 'High School Musical', 'High School Musical 3: Senior Year', 'Last Orders', 'My Dog Skip', 'The Curse of the Were-Rabbit', 'The Shaggy Dog']"
2794,Red Dragon,['The Silence of the Lambs']
2795,Red Eye,['Collateral']
2797,Red Planet,"['Fortress', 'Frequency', 'In Time', 'The Last Days on Mars', 'The Martian', 'Timecop']"
2798,Red Riding Hood,['Nanny McPhee and the Big Bang']
2799,Red Riding: In the Year of Our Lord 1974,"['10th & Wolf', 'A Walk Among the Tombstones', 'Basic', 'Blood Work', 'Brigham City', 'Broken Horses', 'Collateral', 'Deadfall', 'Enemy of the State', 'Frenzy', 'Frequency', 'Harper', 'High Crimes', 'Irréversible', 'Jindabyne', 'Kill the Messenger', 'L.A. Confidential', 'Lucky Number Slevin', 'Mystic River', 'Run All Night', 'Shooter', 'Sicario', 'Slow Burn', ""Smilla's Sense of Snow"", 'The Betrayed', 'The Bone Collector', 'The Limey', 'The Midnight Meat Train', 'The Pelican Brief', 'Trance', 'Trash', 'Zodiac']"
2801,Red Sky,['Broken Arrow']
2802,Red Sonja,"['Mystery Men', 'The Amazing Spider-Man 2', 'Thor']"
2803,Red State,['Red Riding Hood']
2804,Red Tails,['Das Boot']
2809,Regression,['2:13']
2810,Reign of Fire,"['Aladdin', 'Dragonball Evolution', 'Dungeons & Dragons: Wrath of the Dragon God', 'Eragon', 'How to Train Your Dragon 2', 'Mystery Men', 'The Hobbit: The Battle of the Five Armies', ""The Sorcerer's Apprentice""]"
2811,Reign Over Me,"['Footloose', 'High School Musical', 'High School Musical 3: Senior Year', ""Mr. Holland's Opus"", 'Ratatouille']"
2813,Rejsen til Saturn,"['Aladdin', 'Batman', 'Mystery Men', 'The Adventures of Rocky & Bullwinkle']"
2815,Remember Me,['Loser']
2816,Remember the Titans,"['Any Given Sunday', 'The 5th Quarter', 'The Blind Side', 'We Are Marshall']"
2817,Renaissance,"['A Scanner Darkly', 'Final Fantasy: The Spirits Within', 'The Hunger Games: Catching Fire', 'Titan A.E.']"
2818,Renaissance Man,['Rambo: First Blood Part II']
2819,Rendition,"['Southland Tales', 'Vantage Point']"
2820,Reno 911!: Miami,['Beverly Hills Cop II']
2821,Rent,"['A Home at the End of the World', 'Aladdin', 'Henry V', 'High School Musical 3: Senior Year', 'Love Jones', 'Moulin Rouge!', 'The Sound of Music']"
2822,Repo Man,['The Wraith']
2823,Repo Men,['Batman']
2824,Repo! The Genetic Opera,['Batman']
2825,Requiem for a Dream,['Killing Zoe']
2826,Rescue Dawn,"['Agora', 'Lawrence of Arabia', 'The Four Feathers', 'Trash']"
2827,Reservoir Dogs,"['Now You See Me', ""Ocean's Thirteen"", 'The Fugitive']"
2828,Resident Evil,"['Resident Evil: Apocalypse', 'Resident Evil: Extinction', 'Resident Evil: Retribution']"
2829,Resident Evil: Afterlife,['Resident Evil: Extinction']
2830,Resident Evil: Apocalypse,['Resident Evil: Extinction']
2831,Resident Evil: Extinction,['Resident Evil: Apocalypse']
2832,Resident Evil: Retribution,['Resident Evil']
2833,Restless,"['Casablanca', 'Henry V']"
2836,Return of the Jedi,['The Empire Strikes Back']
2837,Return of the Living Dead 3,"['Aladdin', 'Batman', 'Dylan Dog: Dead of Night', 'Pride and Prejudice and Zombies', 'The Last Days on Mars', 'Warm Bodies']"
2838,Return to Me,['Enough Said']
2839,Return to Never Land,['Aladdin']
2840,Return to Oz,"['Aladdin', 'Alice in Wonderland', 'Arthur et les Minimoys', 'Batman', 'The Croods']"
2841,Return to the Blue Lagoon,['The Blue Lagoon']
2843,Ri¢hie Ri¢h,"['Aladdin', 'Batman', 'Hairspray', 'Love the Coopers']"
2845,Ricordati di me,"['Aladdin', 'Enough Said', 'High School Musical 3: Senior Year', 'Lage Raho Munna Bhai', 'Så som i himmelen', 'Summer Catch']"
2846,Riddick,"['Alien', 'Alien³', 'Cloverfield', 'Edge of Tomorrow', 'Equilibrium', 'Face/Off', 'Final Fantasy: The Spirits Within', 'Fortress', 'Gamer', 'Impostor', 'In Time', 'Monsters', 'Pitch Black', 'Rollerball', 'Serenity', 'Terminator 3: Rise of the Machines', 'Terminator Salvation', 'The Maze Runner', 'Timecop', 'Titan A.E.', 'Treasure Planet', 'Ultraviolet']"
2847,Ride Along,"['Batman', 'Big Mommas: Like Father, Like Son', 'Ride Along 2', 'Super']"
2848,Ride Along 2,"['Cop Out', 'Ride Along']"
2849,Ride with the Devil,"['Gone with the Wind', 'Henry V', 'Love Me Tender']"
2851,Riding in Cars with Boys,"['Clueless', 'Enough Said', 'Juno']"
2852,Rien ne va plus,"['Get Shorty', 'Trash']"
2853,Righteous Kill,"[""Brooklyn's Finest"", 'I Am Wrath', 'Run All Night', 'Sicario']"
2854,Rio,"['Aladdin', 'Bolt', 'Stuart Little 2', 'The Croods', 'Up']"
2855,Rio 2,"['Aladdin', 'Cars 2', 'Curious George']"
2856,Ripley's Game,['Eastern Promises']
2857,Rise of the Guardians,"['Alvin and the Chipmunks', 'Inside Out']"
2858,Rise of the Planet of the Apes,['Dawn of the Planet of the Apes']
2860,River's Edge,"[""Boys Don't Cry"", 'Sea of Love', 'Tsotsi']"
2864,Road to Perdition,['Trash']
2865,Road Trip,['Sex Drive']
2868,Roar,"['The Ghost and the Darkness', 'The Legend of Tarzan', 'Trash']"
2870,Robin and Marian,['Kingdom of Heaven']
2871,Robin Hood,"['Batman', 'Henry V']"
2872,Robin Hood: Prince of Thieves,['Robin and Marian']
2873,RoboCop,"['Dredd', 'Fortress', 'I, Robot', 'Renaissance']"
2874,RoboCop 3,['Terminator Genisys']
2875,Robot & Frank,['Batman']
2876,Robots,['Batman']
2877,Rock of Ages,['High School Musical 2']
2878,Rock Star,"['Danny Collins', 'High School Musical', 'High School Musical 3: Senior Year', ""I'm Not There."", 'Så som i himmelen', 'The Producers']"
2879,Rockaway,['Trash']
2880,Rocket Singh: Salesman of the Year,['Lage Raho Munna Bhai']
2881,RockNRolla,"['Batman', 'Bound by Honor', 'Class of 1984', 'Death Sentence', 'Get Shorty', 'Pain & Gain', 'Payback', 'The Man Who Knew Too Little', 'The Proposition', 'The Way of the Gun', 'Trash', 'Young Sherlock Holmes']"
2882,Rocky,['Rocky Balboa']
2883,Rocky Balboa,['Rocky']
2887,Roll Bounce,"['Aladdin', 'Batman', 'High School Musical', 'High School Musical 3: Senior Year']"
2888,Rollerball,"['Equilibrium', 'Fortress', 'Gamer', 'In Time', 'Pitch Black', 'Riddick', 'Terminator 3: Rise of the Machines', 'Terminator Salvation', 'The Maze Runner', 'Timecop', 'Ultraviolet']"
2889,Romance & Cigarettes,"['Aladdin', 'Everyone Says I Love You', 'High School Musical 3: Senior Year', 'Once', 'Så som i himmelen', 'Solitary Man']"
2890,Romeo + Juliet,"['10 Things I Hate About You', 'Henry V', 'Pocahontas']"
2891,Romeo Is Bleeding,['The Negotiator']
2892,Romeo Must Die,['Timecop']
2893,Ronin,"['A View to a Kill', 'Killing Zoe', 'Shaft', 'The Proposition', 'Trash']"
2894,Room,"['10 Cloverfield Lane', 'Breakdown', ""Brooklyn's Finest"", 'Frequency', 'In Dreams', 'Nancy Drew', 'The Bourne Identity', 'The Shipping News']"
2898,Rounders,"[""Buffalo '66""]"
2899,Royal Kill,['Rambo: First Blood Part II']
2900,Rubber,['Scrooged']
2902,Rudderless,"['High School Musical', 'High School Musical 3: Senior Year', 'Så som i himmelen']"
2904,Rugrats in Paris: The Movie,"['Aladdin', 'Batman', 'Stuart Little 2', 'The Adventures of Rocky & Bullwinkle', 'The Croods', 'Up']"
2905,Run All Night,['The Replacement Killers']
2906,Run Fatboy Run,"['27 Dresses', 'The Guru']"
2907,"Run, Hide, Die",['I Still Know What You Did Last Summer']
2908,Runaway Bride,"['27 Dresses', 'The Ugly Truth']"
2909,Runner Runner,"[""Brooklyn's Finest""]"
2911,Running Scared,['The Death and Life of Bobby Z']
2914,Rush Hour 2,"['21 Jump Street', '22 Jump Street', '3000 Miles to Graceland', 'Bad Boys', 'Batman', 'Big Mommas: Like Father, Like Son', 'Confidence', 'Cop Out', 'Crank: High Voltage', 'Death to Smoochy', 'Fast Five', 'Jackass 3D', 'Machine Gun Preacher', 'Next Day Air', 'Pain & Gain', 'Premium Rush', 'RED 2', ""Smokin' Aces"", 'Taxman', 'The 51st State', 'The Adventures of Ford Fairlane', 'The Blues Brothers', 'The Boondock Saints', 'The Guard', 'The Ladykillers', 'The Other Guys', 'Timecop', 'Trash']"
2915,Rush Hour 3,['Batman']
2916,Rushmore,['Charlie Bartlett']
2918,S.W.A.T.,"['Beverly Hills Cop', 'Beverly Hills Cop III', 'Collateral', 'Dark Blue', 'Face/Off', 'Timecop', 'Trash', 'True Romance']"
2919,Så som i himmelen,['August Rush']
2920,Sabotage,"['10th & Wolf', '3 Days to Kill', 'Armored', 'Basic', 'Batman', 'Batman Begins', 'Class of 1984', 'Collateral', 'Colombiana', 'Contraband', 'Dead Man Down', 'Deadfall', 'Der Baader Meinhof Komplex', 'Double Impact', 'Drive', 'Enemy of the State', 'Faster', 'Frequency', 'Gangster Squad', 'Get Carter', 'Gli intoccabili', 'Hackers', 'Harper', 'Harry Brown', 'Harsh Times', 'Hitman', 'I Am Wrath', 'In Too Deep', 'Jimmy and Judy', 'Killing Zoe', 'Kiss of Death', 'Lone Survivor', 'Lone Wolf McQuade', 'Man on Fire', 'Mercury Rising', 'Pain & Gain', 'Patriot Games', 'Payback', 'Righteous Kill', 'RockNRolla', 'Run All Night', 'Running Scared', 'Savages', 'Scarface', 'Shooter', 'Sicario', ""Smilla's Sense of Snow"", 'Stolen', 'Street Kings', 'Takers', 'The Dark Knight', 'The Dark Knight Rises', 'The Death and Life of Bobby Z', ""The Devil's Double"", 'The Fast and the Furious: Tokyo Drift', 'The Hunted', 'The Limey', 'The Matador', 'The Replacement Killers', 'The Way of the Gun', 'Training Day', 'Trash', 'United 93']"
2921,Safe,"['Timecop', 'Trash']"
2923,Safe House,['Salt']
2924,Safe Men,['Batman']
2925,Safety Not Guaranteed,"['About Time', 'Aladdin', 'Batman', 'Enough Said', 'High School Musical 3: Senior Year', 'Kate & Leopold', 'Lage Raho Munna Bhai', 'Så som i himmelen', 'Seeking a Friend for the End of the World', 'Sliding Doors', 'Summer Catch', 'What Planet Are You From?']"
2926,Sahara,"['30 Minutes or Less', 'Action Jackson', 'Aladdin', 'Batman', 'Big Trouble in Little China', 'Double Take', 'Joe Dirt', 'Knowing', 'Mystery Men', 'Now You See Me 2', 'Southland Tales', 'The Adventures of Rocky & Bullwinkle', 'The Negotiator', 'The Pacifier', ""The Sorcerer's Apprentice"", 'Trash', 'xXx: State of the Union']"
2927,Saint John of Las Vegas,['Aladdin']
2928,Saint Ralph,['Summer Catch']
2929,Saints and Soldiers,['Tora! Tora! Tora!']
2930,Salt,['Abduction']
2931,Salton Sea,"['L.A. Confidential', 'Trash']"
2934,Salvation Boulevard,"['Batman', 'Lone Survivor', 'Mr. & Mrs. Smith', 'Så som i himmelen', 'The Matador', 'The Pacifier']"
2936,Sammy's avonturen: De geheime doorgang,['Inside Out']
2938,San Andreas,"['Need for Speed', 'The Pacifier', 'Trash']"
2941,Sands of Iwo Jima,"['Agora', 'Alexander', 'Baahubali: The Beginning', 'Das Boot', 'Flammen & Citronen', 'Flyboys', 'Free State of Jones', 'Henry V', 'Joan of Arc', 'Kingdom of Heaven', 'Lawrence of Arabia', 'Lions for Lambs', 'Red Tails', 'Saints and Soldiers', 'The Last of the Mohicans', 'The Longest Day', 'The Patriot', 'Tora! Tora! Tora!']"
2942,Sausage Party,['Aladdin']
2943,Savage Grace,"['Fish Tank', 'Heavenly Creatures', 'Notes on a Scandal']"
2944,Savages,"['Collateral', 'Deadfall', 'Frequency', 'Running Scared', 'Sabotage', 'Trash']"
2945,Save the Last Dance,['High School Musical 3: Senior Year']
2946,Saved!,"['Griff the Invisible', 'La Famille Bélier', 'Maurice', 'My Beautiful Laundrette', 'Out of the Blue']"
2948,Saving Mr. Banks,"['Aladdin', 'Eddie the Eagle']"
2949,Saving Private Ryan,"['Flammen & Citronen', 'Patton', 'Pearl Harbor', 'Saints and Soldiers', 'The Four Feathers']"
2950,Saving Silverman,['That Awkward Moment']
2951,Saw,['L.A. Confidential']
2954,Saw III,"['Body Double', 'Class of 1984', 'Trash']"
2955,Saw IV,"['The Texas Chainsaw Massacre: The Beginning', 'Very Bad Things']"
2956,Saw V,"['Malevolence', 'Trash']"
2959,Scarface,"['Enemy of the State', 'Shaft', 'Shooter']"
2963,Scary Movie 5,"['Aladdin', 'Blazing Saddles', 'Nanny McPhee and the Big Bang', 'The Croods']"
2964,Schindler's List,"['Amen.', 'Fury', 'Henry V', 'Judgment at Nuremberg', 'The Boy in the Striped Pyjamas', 'The Imitation Game', 'The Monuments Men', 'The Pianist', 'Unbroken']"
2965,School Daze,"['Aladdin', 'High School Musical', 'High School Musical 3: Senior Year']"
