"STATION","NAME","DATE","TMAX","TMIN"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-21","71","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-22","81","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-23","85","60"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-24","86","59"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-25","89","60"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-26","87","58"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-27","67","42"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-28","71","42"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-29","68","35"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-30","64","32"
"USC00365817","MILLVILLE 2 SW, PA US","1961-10-01","72","33"
"USC00365817","MILLVILLE 2 SW, PA US","1961-10-02","71","48"
"USC00365817","MILLVILLE 2 SW, PA US","1961-10-03","73","50"
"USC00365817","MILLVILLE 2 SW, PA US","1961-10-04","52","42"
"USC00365817","MILLVILLE 2 SW, PA US","1961-10-05","50","30"
"USC00365817","MILLVILLE 2 SW, PA US","1961-10-06","64","31"
"USC00365817","MILLVILLE 2 SW, PA US","1961-10-07","73","38"
"USC00365817","MILLVILLE 2 SW, PA US","1961-10-08","78","42"
"USC00365817","MILLVILLE 2 SW, PA US","1961-10-09","67","47"
